"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86879",49688.4903724928,346282.705641026,NaN,NaN,37129,NaN,26495.8806744488,NaN,16424.0736522399,7066.80150853513
"86883",49679.8758152174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86885",49631.05,NaN,39354,NaN,NaN,NaN,NaN,18196,NaN,NaN
"86886",NaN,345908,NaN,32197,37079,20588,26462,NaN,16407,7062
"86887",NaN,NaN,NaN,32197,NaN,NaN,NaN,NaN,NaN,NaN
"86889",NaN,345934.066666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86890",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18191.8207306712,16407,NaN
"86892",NaN,346001.843426883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86893",NaN,NaN,NaN,NaN,37079,NaN,NaN,NaN,NaN,NaN
"86900",49636.3474872838,346200,39361.4252199413,NaN,37091.3145400593,20585.8308740068,26461.8693126815,18188.2635791881,16407.8385490754,7061.22053145583
"86901",NaN,345883.525606469,NaN,NaN,37078,NaN,NaN,18191,16407.0892857143,NaN
"86902",NaN,345796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86906",NaN,345465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86909",49689.97,345905.651125402,39387.5055611729,32197,37103,20587.8979633401,26548,18226,16428.8399269629,7062
"86910",49706.389281768,345906.521246459,39392.4067536454,NaN,37101.1241473397,20599.9285714286,26546,18234.2683397683,16438,7062.37107835984
"86911",49706.66,345905.277108434,NaN,32197,37103.6187904968,20638,26546.3280507132,18272,16437,NaN
"86913",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7066
"86914",NaN,NaN,NaN,NaN,NaN,NaN,NaN,18241,NaN,NaN
"86915",49749.87,NaN,NaN,NaN,37103,NaN,NaN,NaN,NaN,NaN
"86916",NaN,NaN,39423,NaN,NaN,NaN,NaN,18218,NaN,NaN
"86918",NaN,345999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86921",NaN,NaN,NaN,NaN,37103,NaN,NaN,NaN,NaN,NaN
"86924",NaN,NaN,39409,NaN,NaN,NaN,NaN,NaN,NaN,7067
"86931",NaN,345899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86932",NaN,NaN,NaN,NaN,37093.1052631579,NaN,NaN,NaN,NaN,NaN
"86937",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7063
"86938",NaN,NaN,NaN,NaN,NaN,NaN,26548,18231,NaN,7062
"86941",49745.5832307692,345899,NaN,32197,NaN,20627,26548,NaN,NaN,7062
"86942",NaN,345899.623739333,NaN,NaN,37056,NaN,NaN,18231,NaN,NaN
"86948",NaN,NaN,39409,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86955",NaN,NaN,NaN,NaN,37056,NaN,NaN,NaN,16437,NaN
"86958",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16446,NaN
"86959",NaN,345476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86963",NaN,NaN,NaN,NaN,37129,NaN,NaN,NaN,16450.4340704341,NaN
"86964",NaN,345871.914101646,NaN,NaN,37058,NaN,NaN,NaN,NaN,NaN
"86965",NaN,345500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86967",NaN,NaN,39411.3636363636,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86970",NaN,NaN,NaN,NaN,37059,NaN,NaN,NaN,NaN,NaN
"86971",NaN,NaN,NaN,NaN,NaN,20627,NaN,NaN,NaN,NaN
"86972",49678.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86973",49649.0941982507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86975",NaN,345503,NaN,NaN,NaN,NaN,NaN,NaN,16498.972,NaN
"86976",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16499.9245,NaN
"86977",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16498.4068852459,7066
"86978",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500.6614120409,NaN
"86979",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500.7521100344,NaN
"86980",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500,NaN
"86981",49610.9907142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500.3906545267,NaN
"86982",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500.4924655338,7063.24860564659
"86984",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16503.0502369668,NaN
"86985",NaN,NaN,NaN,NaN,37067,NaN,NaN,NaN,NaN,NaN
"86987",NaN,NaN,NaN,32213,NaN,NaN,NaN,NaN,NaN,NaN
"86988",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16515.5198885229,NaN
"86991",NaN,NaN,NaN,NaN,NaN,NaN,26547,NaN,NaN,NaN
"86992",NaN,NaN,NaN,NaN,37067,NaN,NaN,NaN,NaN,NaN
"86994",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16546,NaN
"86996",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16546,NaN
"86998",NaN,NaN,39454.8615384615,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87000",49579.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87004",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7062
"87005",NaN,345899,NaN,NaN,37067,NaN,NaN,NaN,NaN,NaN
"87006",NaN,NaN,NaN,NaN,NaN,NaN,26504,NaN,NaN,NaN
"87015",NaN,NaN,NaN,NaN,37067,NaN,26554.8027210884,NaN,NaN,NaN
"87016",NaN,345503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87020",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7051.72171088251
