"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86937",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360169
"86938",NaN,NaN,NaN,NaN,NaN,NaN,1561360170,1561360170,NaN,1561360170
"86941",1561360173,1561360173,NaN,1561360173,NaN,1561360173,1561360173,NaN,NaN,1561360173
"86942",NaN,1561360174,NaN,NaN,1561360174,NaN,NaN,1561360174,NaN,NaN
"86948",NaN,NaN,1561360180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86955",NaN,NaN,NaN,NaN,1561360187,NaN,NaN,NaN,1561360187,NaN
"86958",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360190,NaN
"86959",NaN,1561360191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86963",NaN,NaN,NaN,NaN,1561360195,NaN,NaN,NaN,1561360195,NaN
"86964",NaN,1561360196,NaN,NaN,1561360196,NaN,NaN,NaN,NaN,NaN
"86965",NaN,1561360197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86967",NaN,NaN,1561360199,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86970",NaN,NaN,NaN,NaN,1561360202,NaN,NaN,NaN,NaN,NaN
"86971",NaN,NaN,NaN,NaN,NaN,1561360203,NaN,NaN,NaN,NaN
"86972",1561360204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86973",1561360205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86975",NaN,1561360207,NaN,NaN,NaN,NaN,NaN,NaN,1561360207,NaN
"86976",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360208,NaN
"86977",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360209,1561360209
"86978",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360210,NaN
"86979",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360211,NaN
"86980",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360212,NaN
"86981",1561360213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360213,NaN
"86982",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360214,1561360214
"86984",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360216,NaN
"86985",NaN,NaN,NaN,NaN,1561360217,NaN,NaN,NaN,NaN,NaN
"86987",NaN,NaN,NaN,1561360219,NaN,NaN,NaN,NaN,NaN,NaN
"86988",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360220,NaN
"86991",NaN,NaN,NaN,NaN,NaN,NaN,1561360223,NaN,NaN,NaN
"86992",NaN,NaN,NaN,NaN,1561360224,NaN,NaN,NaN,NaN,NaN
"86994",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360226,NaN
"86996",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561360228,NaN
"86998",NaN,NaN,1561360230,NaN,NaN,NaN,NaN,NaN,NaN,NaN
